id,content,date_visited,owner,pub,created_at
47,,,2,116,2023-09-12 14:55:55.241521+00
48,,,2,117,2023-09-12 14:55:57.683905+00
49,,,2,124,2023-09-12 14:56:25.374441+00
50,,,2,125,2023-09-12 14:56:37.138879+00
51,,,2,126,2023-09-12 14:56:50.133539+00
52,,,2,131,2023-09-12 14:57:22.619972+00
53,,,2,134,2023-09-12 14:57:42.211878+00
54,,,2,135,2023-09-12 14:57:58.751855+00
55,,,2,136,2023-09-12 14:58:22.831886+00
57,,,2,139,2023-09-12 14:59:21.64119+00
58,,,2,1511,2023-09-12 14:59:26.213733+00
59,,,2,145,2023-09-12 14:59:45.858272+00
60,,,2,148,2023-09-12 14:59:57.467537+00
61,,,2,151,2023-09-12 15:00:24.799082+00
62,,,2,154,2023-09-12 15:00:41.83067+00
63,,,2,173,2023-09-12 15:01:09.028747+00
64,,,2,174,2023-09-12 15:01:39.669225+00
65,,,2,188,2023-09-12 15:02:04.240304+00
66,,,2,2280,2023-09-12 15:03:45.365327+00
67,,,2,202,2023-09-12 15:04:21.147742+00
68,,,2,75,2023-09-12 15:04:25.867554+00
69,,,2,85,2023-09-12 15:04:42.885439+00
70,,,2,225,2023-09-12 15:05:07.93446+00
71,,,2,309,2023-09-12 15:05:12.931805+00
72,,,2,265,2023-09-12 15:05:17.805687+00
73,,,2,226,2023-09-12 15:05:26.794914+00
74,,,2,227,2023-09-12 15:05:33.702385+00
75,,,2,235,2023-09-12 15:05:56.624538+00
76,,,2,1302,2023-09-12 15:06:06.004678+00
77,,,2,241,2023-09-12 15:06:21.471553+00
78,,,2,236,2023-09-12 15:06:28.299157+00
79,,,2,245,2023-09-12 15:06:51.02578+00
80,,,2,254,2023-09-12 15:07:08.441759+00
81,,,2,286,2023-09-12 15:07:31.965958+00
83,,,2,320,2023-09-12 15:08:16.498396+00
84,,,2,324,2023-09-12 15:08:31.916776+00
85,,,2,337,2023-09-12 15:08:56.396715+00
86,,,2,554,2023-09-12 15:09:16.87574+00
87,,,2,627,2023-09-12 15:09:39.204119+00
88,,,2,653,2023-09-12 15:09:57.344808+00
89,,,2,999,2023-09-12 15:12:08.770036+00
90,,,2,1200,2023-09-12 15:12:30.121541+00
91,,,2,1864,2023-09-12 15:13:23.517535+00
92,,,2,1942,2023-09-12 15:13:41.953733+00
93,,,2,2176,2023-09-12 15:14:07.005339+00
94,,,2,150,2023-09-12 15:16:49.064783+00
95,,,2,158,2023-09-12 15:17:43.267569+00
96,,,2,1916,2023-09-12 15:20:40.641159+00
97,Filmed there too!,,2,4,2023-09-13 09:50:46.832326+00
98,Excellent art deco!,,2,119,2023-09-13 09:51:04.325321+00
100,Played hook on beam game!,,2,337,2023-09-15 09:31:35.424486+00
101,visited when on a bargain hunt shoot.,01/03/2019,2,1511,2023-09-15 11:06:39.032216+00
102,,01/03/2019,2,139,2023-09-15 11:07:08.146055+00
107,Also known as the 'low bar'.,,2,136,2023-09-28 12:42:33.006399+00
108,,,3,102,2023-10-01 15:14:52.8323+00
109,,,3,106,2023-10-01 15:15:06.331837+00
110,,,3,105,2023-10-01 15:16:10.825905+00
111,3🌟 heritage pub with etched glass and ornate wood. Excellent pint of porter. Quiet due to midday weekday visit. Rear bar has 3 rooms: 1st is cozy but not snug; 2nd qualifies as snug; 3rd is grand with large dining tables,02/10/2023,2,196,2023-10-02 11:56:11.945285+00
112,,02/10/2023,2,199,2023-10-02 12:51:45.546314+00
113,"Nh 3🌟, unashamedly working class, no real ale but friendly. Public bar has bench seating but is a little shabby.
2nd and 3rd rooms gave away that this has a stron interwar vibe. 1930s apparently.

Good pub, but I'll be surprised if it is untouched in 10 years time.",02/10/2023,2,199,2023-10-02 13:07:08.344059+00
114,,,4,235,2023-10-02 13:20:11.299867+00
115,,,4,148,2023-10-02 13:20:28.202247+00
116,,,4,188,2023-10-02 13:20:54.034837+00
117,,,4,2257,2023-10-02 13:21:13.675303+00
118,,,4,307,2023-10-02 13:21:21.301106+00
119,,,4,20,2023-10-02 13:21:37.581842+00
120,,,4,47,2023-10-02 13:21:57.045868+00
121,,,4,243,2023-10-02 13:22:05.106105+00
122,,,4,1864,2023-10-02 13:22:22.528964+00
123,,,4,2176,2023-10-02 13:22:41.957094+00
124,,,4,145,2023-10-02 13:22:47.922758+00
125,,,4,138,2023-10-02 13:23:10.687474+00
126,,,4,186,2023-10-02 13:23:42.002956+00
127,,,4,245,2023-10-02 13:23:49.878982+00
128,,,4,4,2023-10-02 13:24:03.684331+00
129,,,4,137,2023-10-02 13:25:06.031658+00
130,,,4,125,2023-10-02 13:25:16.344645+00
131,,,4,13,2023-10-02 13:25:32.553265+00
132,,,4,117,2023-10-02 13:25:39.800985+00
133,,,4,1942,2023-10-02 13:26:04.695354+00
134,,,4,2280,2023-10-02 13:26:55.546079+00
135,,,4,126,2023-10-02 13:27:12.931326+00
136,,,4,185,2023-10-02 13:27:23.061283+00
137,,,4,119,2023-10-02 13:27:32.483662+00
138,,,4,116,2023-10-02 13:27:45.98887+00
139,,,4,25,2023-10-02 13:27:56.903656+00
140,,,4,150,2023-10-02 13:28:26.540538+00
141,,,4,1424,2023-10-02 13:29:01.908281+00
142,,,4,28,2023-10-02 13:29:19.350921+00
143,,,4,324,2023-10-02 13:30:00.776103+00
144,,,4,795,2023-10-02 13:32:28.58314+00
145,,,4,48,2023-10-02 13:44:38.984362+00
146,,,4,154,2023-10-02 13:55:27.613309+00
150,,,2,194,2023-10-02 14:59:08.19226+00
151,"3🌟 it retains the original decor and room layout, it is a little bit too hipster for my tastes. Bf 2 bf 3cm",02/10/2023,2,194,2023-10-02 14:59:43.795907+00
152,"Kings arms nh 🌟🌟🌟
Village pub, instantly cosy and dark, decent osset brewery line up 4bf 5cm (just)",03/10/2023,2,193,2023-10-03 14:24:12.993909+00
153,,,4,2076,2023-10-09 12:47:52.275105+00
154,,,4,2070,2023-10-09 12:47:58.982744+00
155,,,2,2070,2023-10-09 12:56:33.627276+00
156,,,2,2076,2023-10-09 12:56:40.192944+00
157,123,,2,173,2023-10-09 12:57:34.257121+00
161,connected to google cloud database,10/10/2023,2,10,2023-10-10 08:58:20.385483+00
